iter	Passed	Remaining
0	1	158
1	2	143
2	4	132
3	5	121
4	6	119
5	7	116
6	8	113
7	9	112
8	10	111
9	12	113
10	14	120
11	16	118
12	17	115
13	18	114
14	19	112
15	20	110
16	22	108
17	23	106
18	24	104
19	25	102
20	29	109
21	30	109
22	32	107
23	33	105
24	34	103
25	35	102
26	37	100
27	38	98
28	39	97
29	40	95
30	42	94
31	44	95
32	46	93
33	47	91
34	48	90
35	49	88
36	50	86
37	52	84
38	53	83
39	54	82
40	55	80
41	56	77
42	59	78
43	60	77
44	62	75
45	63	74
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	71	66
52	75	66
53	76	65
54	77	63
55	78	61
56	79	60
57	80	58
58	82	57
59	83	55
60	84	54
61	85	52
62	87	51
63	90	50
64	91	49
65	92	47
66	94	46
67	95	45
68	96	43
69	98	42
70	99	40
71	103	40
72	105	38
73	106	37
74	107	35
75	109	34
76	110	33
77	112	31
78	113	30
79	114	28
80	115	27
81	118	25
82	119	24
83	120	23
84	123	21
85	124	20
86	126	18
87	127	17
88	128	15
89	131	14
90	133	13
91	135	11
92	137	10
93	139	8
94	140	7
95	142	5
96	143	4
97	146	2
98	148	1
99	149	0
