iter	Passed	Remaining
0	2	2602
1	6	3112
2	9	3318
3	11	2925
4	14	2813
5	16	2652
6	17	2531
7	20	2553
8	22	2488
9	25	2491
10	27	2452
11	34	2867
12	41	3172
13	47	3354
14	50	3338
15	58	3568
16	59	3442
17	61	3328
18	62	3236
19	64	3145
20	65	3066
21	67	3012
22	70	3003
23	72	2933
24	73	2869
25	75	2815
26	76	2758
27	77	2706
28	80	2682
29	85	2749
30	86	2705
31	87	2660
32	89	2618
33	90	2578
34	92	2540
35	93	2507
36	95	2472
37	96	2439
38	97	2414
39	100	2418
40	102	2389
41	103	2362
42	104	2335
43	106	2317
44	108	2294
45	109	2276
46	111	2253
47	115	2292
48	117	2272
49	120	2287
50	122	2270
51	123	2249
52	124	2231
53	126	2214
54	130	2247
55	132	2229
56	133	2215
57	135	2199
58	139	2218
59	140	2201
60	141	2184
61	144	2190
62	146	2176
63	147	2162
64	149	2148
65	150	2133
66	152	2118
67	153	2105
68	155	2091
69	161	2140
70	162	2132
71	164	2124
72	166	2115
73	169	2121
74	171	2112
75	178	2171
76	180	2167
77	182	2157
78	184	2146
79	185	2137
80	197	2236
81	198	2227
82	199	2206
83	201	2193
84	202	2181
85	212	2263
86	214	2254
87	217	2251
88	223	2288
89	225	2280
90	227	2270
91	229	2261
92	230	2251
93	232	2242
94	242	2312
95	244	2303
96	245	2289
97	247	2277
98	248	2265
99	255	2297
100	257	2293
101	259	2283
102	261	2274
103	262	2265
104	265	2262
105	267	2253
106	268	2244
107	270	2234
108	272	2230
109	280	2269
110	282	2260
111	284	2257
112	286	2246
113	287	2235
114	289	2224
115	294	2242
116	297	2241
117	298	2234
118	300	2225
119	302	2216
120	309	2246
121	311	2244
122	313	2236
123	315	2227
124	317	2219
125	318	2212
126	327	2248
127	328	2240
128	330	2233
129	333	2233
130	335	2224
131	336	2214
132	339	2214
133	342	2213
134	344	2205
135	346	2198
136	348	2194
137	356	2226
138	358	2219
139	360	2216
140	386	2354
141	387	2341
142	389	2334
143	402	2392
144	411	2427
145	415	2432
146	418	2430
147	420	2421
148	422	2412
149	424	2404
150	459	2584
151	469	2617
152	471	2607
153	473	2603
154	476	2597
155	489	2649
156	493	2648
157	499	2659
158	501	2652
159	503	2643
160	504	2628
161	505	2617
162	507	2605
163	508	2594
164	513	2596
165	515	2587
166	516	2576
167	518	2565
168	519	2556
169	521	2546
170	523	2537
171	524	2527
172	527	2520
173	528	2510
174	530	2499
175	531	2489
176	533	2479
177	534	2469
178	536	2459
179	540	2460
180	542	2453
181	543	2443
182	545	2433
183	546	2423
184	548	2414
185	549	2405
186	551	2396
187	557	2406
188	560	2404
189	561	2395
190	563	2386
191	564	2377
192	566	2367
193	568	2360
194	573	2366
195	575	2359
196	576	2350
197	578	2341
198	579	2333
199	581	2324
200	582	2315
201	586	2316
202	587	2307
203	589	2298
204	590	2290
205	592	2281
206	593	2273
207	594	2265
208	596	2257
209	598	2249
210	599	2242
211	601	2233
212	602	2226
213	604	2218
214	605	2210
215	610	2215
216	614	2218
217	616	2211
218	618	2203
219	619	2196
220	621	2189
221	622	2181
222	624	2174
223	625	2166
224	629	2168
225	631	2161
226	632	2154
227	636	2154
228	637	2146
229	640	2145
230	644	2145
231	645	2138
232	647	2131
233	648	2124
234	650	2117
235	651	2110
236	653	2103
237	655	2097
238	661	2106
239	663	2099
240	664	2093
241	666	2086
242	667	2080
243	669	2073
244	670	2066
245	674	2066
246	675	2060
247	677	2053
248	678	2046
249	680	2040
250	681	2033
251	682	2026
252	684	2020
253	685	2013
254	689	2013
255	690	2007
256	692	2001
257	693	1995
258	695	1989
259	696	1983
260	698	1977
261	699	1971
262	701	1965
263	703	1961
264	705	1955
265	706	1949
266	708	1943
267	709	1937
268	711	1932
269	712	1926
270	714	1920
271	720	1927
272	721	1922
273	723	1916
274	724	1910
275	726	1905
276	729	1905
277	732	1901
278	733	1896
279	735	1890
280	736	1884
281	738	1879
282	739	1873
283	740	1867
284	742	1861
285	746	1862
286	747	1857
287	749	1852
288	750	1846
289	752	1841
290	753	1836
291	755	1830
292	756	1825
293	761	1828
294	763	1823
295	764	1818
296	766	1813
297	767	1808
298	769	1803
299	770	1798
300	772	1793
301	777	1795
302	778	1791
303	780	1787
304	781	1781
305	783	1776
306	785	1772
307	786	1767
308	788	1762
309	790	1759
310	796	1765
311	798	1760
312	799	1755
313	801	1750
314	804	1750
315	806	1745
316	807	1740
317	809	1735
318	810	1730
319	811	1725
320	813	1720
321	814	1715
322	816	1710
323	820	1710
324	821	1706
325	823	1701
326	824	1697
327	826	1692
328	828	1688
329	829	1684
330	831	1680
331	836	1682
332	837	1677
333	839	1673
334	840	1668
335	842	1664
336	843	1659
337	844	1654
338	846	1650
339	850	1650
340	851	1645
341	853	1641
342	854	1636
343	856	1632
344	857	1628
345	859	1623
346	860	1619
347	865	1621
348	868	1620
349	870	1616
350	872	1612
351	874	1609
352	876	1606
353	884	1614
354	887	1612
355	889	1608
356	890	1604
357	906	1625
358	918	1640
359	930	1653
360	932	1650
361	934	1647
362	936	1643
363	938	1639
364	946	1646
365	948	1642
366	950	1638
367	951	1634
368	961	1643
369	963	1640
370	966	1637
371	968	1634
372	975	1639
373	981	1643
374	984	1640
375	993	1648
376	994	1644
377	997	1641
378	1000	1640
379	1006	1642
380	1010	1641
381	1012	1637
382	1013	1633
383	1017	1632
384	1024	1637
385	1026	1633
386	1048	1660
387	1054	1663
388	1056	1659
389	1058	1655
390	1069	1666
391	1072	1662
392	1093	1688
393	1097	1687
394	1100	1685
395	1102	1681
396	1104	1677
397	1106	1674
398	1111	1674
399	1114	1671
400	1117	1668
401	1120	1666
402	1122	1662
403	1128	1664
404	1143	1680
405	1146	1677
406	1148	1673
407	1151	1671
408	1153	1666
409	1162	1672
410	1164	1668
411	1166	1665
412	1169	1662
413	1176	1665
414	1178	1661
415	1180	1656
416	1182	1653
417	1184	1648
418	1187	1646
419	1195	1650
420	1197	1646
421	1199	1642
422	1206	1645
423	1208	1641
424	1213	1641
425	1215	1637
426	1222	1640
427	1224	1636
428	1227	1633
429	1228	1628
430	1230	1624
431	1232	1620
432	1234	1616
433	1251	1631
434	1254	1629
435	1256	1625
436	1258	1621
437	1266	1625
438	1268	1621
439	1270	1617
440	1272	1613
441	1274	1609
442	1280	1609
443	1282	1606
444	1285	1602
445	1287	1598
446	1288	1594
447	1290	1590
448	1292	1586
449	1294	1582
450	1296	1577
451	1298	1574
452	1303	1573
453	1305	1569
454	1307	1565
455	1309	1561
456	1313	1561
457	1320	1562
458	1322	1558
459	1324	1554
460	1327	1552
461	1333	1552
